Family	Success	Comments	Tree
Umbugarla	FAIL	GA: too few languages	
Deaf Sign Language	FAIL	GA: the distances matrix is too small	
Pidgin Sign Language	FAIL	GA: too few languages	
Sign Languages	SUCCESS	GA: converged after 1820 iterations out of 10000 with residual SSE error 1485.54781667891	('American Sign Language [i-ase][w-asl][a-930][g-amer1248]':42.2,'Argentine Sign Language [i-aed][w-lsa][a-840][g-arge1236]':20.1,'Australian Sign Language [i-asf][w-aus][a-931][g-aust1271]':20.8,'Brazilian Sign Language [i-bzs][w-lsb][a-1104][g-braz1236]':19,'British Sign Language [i-bfi][w-bsl][a-1012][g-brit1235]':18.8,'Dutch Sign Language [i-dse][w-ned][a-1400][g-dutc1253]':35.5,'Finnish Sign Language [i-fse][w-fsl][a-1502][g-finn1310]':44.3,'German Sign Language [i-gsg][w-dge][a-1563][g-germ1281]':20.6,'Greek Sign Language [i-gss][w-gsl][a-1564][g-gree1271]':21.7,'Hong Kong Sign Language [i-hks][w-hks][a-770][g-hong1241]':104,'Icelandic Sign Language [i-icl][w-ics][a-1635][g-icel1236]':35.2,'Indian Sign Language [i-ins][w-ipi][a-1648][g-indi1237]':90.9,'Irish Sign Language [i-isg][w-irs][a-1654][g-iris1235]':32.8,'Israeli Sign Language [i-isr][w-iss][a-1656][g-isra1236]':18.7,'Italian Sign Language [i-ise][w-lii][a-1653][g-ital1275]':34.8,'Japanese Sign Language [i-jsl][w-nih][a-1689][g-japa1238]':46.5,'Kenyan Sign Language [i-xki][w-ksl][a-2749][g-keny1241]':44.6,'Korean Sign Language [i-kvk][w-ssl][a-1842][g-kore1273]':105,'New Zealand Sign Language [i-nzs][w-nzs][a-2237][g-newz1236]':19.3,'Pakistan Sign Language [i-pks][w-ipk][a-2305][g-paki1242]':150,'Quebec Sign Language [i-fcs][w-lsq][a-1488][g-queb1245]':18.1,'Russian Sign Language [i-rsl][w-rsl][a-2383][g-russ1255]':22.1,'Spanish Sign Language [i-ssp][w-lse][a-2485][g-span1263]':96.9,'Swedish Sign Language [i-swl][w-svt][a-2503][g-swed1236]':19.1,'Tanzanian Sign Language [i-tza][w-tsl][a-2650][g-tanz1238]':51.6,'Thai Sign Language [i-tsq][w-ths][a-2621][g-thai1240]':35.2,'Turkish Sign Language [i-tsm][w-tui][a-2618][g-turk1288]':50,'Ugandan Sign Language [i-ugn][w-ugs][a-2659][g-ugan1238]':19.4,'Vlaamse Gebarentaal [i-vgt][w-vla][a-1089][g-vlaa1235]':19.6)'Sign Languages [i-][w-][a-][g-sign1237]';
Timor-Alor-Pantar	FAIL	GA: the distances matrix is too small	
Unclassified	FAIL	GA: the distances matrix is too small	
Village Sign Language	SUCCESS	GA: converged after 589 iterations out of 10000 with residual SSE error 0.0107290112638908	('Adamorobe Sign Language [i-ads][w-ada][a-836][g-adam1238]':7.58,'Bengkala Sign Language [i-bqy][w-kkl][a-1060][g-beng1239]':63.4,'Urubu-Kaapor Sign Language [i-uks][w-usl][a-2661][g-urub1243]':98.8)'Village Sign Language [i-][w-][a-][g-vill1243]';
Ramanos	FAIL	GA: too few languages	
Nilotic	SUCCESS	GA: converged after 874 iterations out of 10000 with residual SSE error 240.451387630014	('Nandi [i-niq][w-nan][a-299][g-nand1266]':13.2,(('Luwo [i-lwo][w-jlu][a-1924][g-luwo1239]':27.5,'Pari [i-lkr][w-par][a-1894][g-pari1256]':290,'Shilluk [i-shk][w-shl][a-2423][g-shil1265]':21.6)'Northern Lwoo [i-][w-][a-][g-nort2814]':4.34,('Luo {Kenya and Tanzania} [i-luo][w-luo][a-1919][g-luok1236]':42.8,'Lango {Uganda} [i-laj][w-lan][a-159][g-lang1324]':92)'Southern Lwoo [i-][w-][a-][g-sout2831]':9.89)'Luo-Burun [i-][w-][a-][g-luob1235]':29.4)'Nilotic [i-][w-][a-][g-nilo1247]';
Austronesian	SUCCESS	GA: converged after 10000 iterations out of 10000 with residual SSE error 643.489753265027	(('Yami [i-tao][w-ymi][a-2782][g-yami1254]':20.9,('Sarangani Blaan [i-bps][w-biq][a-1022][g-sara1326]':16.1,'Tiruray [i-tiy][w-try][a-2576][g-tiru1241]':12.7)'Bilic [i-][w-][a-][g-bili1253]':8.59,(('Balantak [i-blz][w-blk][a-1040][g-bala1315]':11.9,'Padoe [i-pdo][w-pad][a-2283][g-pado1242]':25.9)'Eastern Celebic [i-][w-][a-][g-east2488]':10.8,(('Pamona [i-pmf][w-pna][a-982][g-pamo1252]':12.2,'Napu [i-npy][w-npu][a-2134][g-napu1241]':15.3)'Kaili-Pamona [i-][w-][a-][g-kail1253]':7.62,'Wolio [i-wlo][w-wlo][a-2725][g-woli1241]':12.6)'Kaili-Pamona-Wotu-Wolio [i-][w-][a-][g-kail1255]':2.34)'Celebic [i-][w-][a-][g-cele1242]':3.09,'Pampanga [i-pam][w-kpm][a-2310][g-pamp1243]':44.2,(('Kola [i-kvv][w-koo][a-1845][g-kola1285]':4.62,'Paulohi [i-plh][w-plh][a-2307][g-paul1238]':12.6,'Kedang [i-ksx][w-ked][a-1824][g-keda1252]':15.3,'Keo [i-xxk][w-keo][a-2756][g-keoo1238]':16.8,('Kisar [i-kje][w-ksr][a-1762][g-kisa1266]':11.7,'Leti {Indonesia} [i-lti][w-let][a-1915][g-leti1246]':20.6)'Luang-Kisar [i-][w-][a-][g-luan1261]':6.74)'Central Malayo-Polynesian [i-][w-][a-][g-cent2245]':5.25,((('Kele {Papua New Guinea} [i-sbc][w-kel][a-2396][g-kele1258]':17.6,'Loniu [i-los][w-lon][a-1911][g-loni1238]':20.2)'Manus [i-][w-][a-][g-manu1262]':10.5,((('East Futuna [i-fud][w-fue][a-1505][g-east2447]':27.9,('Niuafo`ou [i-num][w-nif][a-2216][g-niua1240]':6.58,'Wallisian [i-wls][w-wll][a-2699][g-wall1257]':15.5)'East Uvean-Niuafo`ou [i-][w-][a-][g-east2758]':8,('Samoan [i-smo][w-sam][a-346][g-samo1305]':32.2,'Tokelau [i-tkl][w-tke][a-2599][g-toke1240]':36)'Samoan-Tokelauan [i-][w-][a-][g-samo1310]':9.51,(('Kapingamarangi [i-kpg][w-kpn][a-1801][g-kapi1249]':18,'Nukuoro [i-nkr][w-nkr][a-2182][g-nuku1260]':11.9)'Northern Ellicean Outlier [i-][w-][a-][g-nort3235]':3.27,(('Hawaiian [i-haw][w-haw][a-1628][g-hawa1245]':35.5,'Tahitian [i-tah][w-tah][a-][g-tahi1242]':31.7)'Central East Nuclear Polynesian [i-][w-][a-][g-cent2062]':20.4,'Rapanui [i-rap][w-rap][a-564][g-rapa1244]':54.7)'East Nuclear Polynesian [i-][w-][a-][g-east2449]':18.8)'Northern Outlier Polynesian-East Polynesian [i-][w-][a-][g-nort3246]':4.31)'Nuclear Polynesian [i-][w-][a-][g-nucl1485]':1.39,('Niuean [i-niu][w-niu][a-2174][g-niue1239]':1.83,'Tonga {Tonga Islands} [i-ton][w-tng][a-2602][g-tong1325]':3.65)'Tongic [i-][w-][a-][g-tong1324]':11.7)'Polynesian [i-][w-][a-][g-poly1242]':1.22,'Rotuman [i-rtm][w-rot][a-2385][g-rotu1241]':19.6)'Central Pacific [i-][w-][a-][g-cent2060]':3.44,('Iaai [i-iai][w-iaa][a-1629][g-iaai1238]':29.6,'Nengone [i-nen][w-nne][a-2155][g-neng1238]':23.4)'Loyalty Islands [i-][w-][a-][g-loya1239]':5.7,((('Mokilese [i-mkj][w-mok][a-2045][g-moki1238]':14.4,'Pingelapese [i-pif][w-pgl][a-2294][g-ping1243]':17.9)'Ponapeic [i-][w-][a-][g-pona1248]':3.63,('Carolinian [i-cal][w-crl][a-1110][g-caro1242]':15.3,'Ulithian [i-uli][w-uli][a-2664][g-ulit1238]':12.1)'Trukic [i-][w-][a-][g-truk1243]':5.74)'Ponapeic-Trukic [i-][w-][a-][g-pona1247]':0.618,'Nauru [i-nau][w-nau][a-2201][g-naur1243]':9.77)'Micronesian [i-][w-][a-][g-micr1243]':2.84,(('Lonwolwol [i-crc][w-lnw][a-1177][g-lonw1238]':9.74,('South Efate [i-erk][w-erk][a-3038][g-sout2856]':7.7,'Lamenu [i-lmu][w-lmu][a-3158][g-lame1260]':16.2)'Epi-Efate [i-][w-][a-][g-epie1239]':7.1,('Port Sandwich [i-psw][w-psw][a-2836][g-port1285]':4.04,'Big Nambas [i-nmb][w-nbb][a-2184][g-bign1238]':13.4)'Malakula [i-][w-][a-][g-mala1539]':2.74)'Central Vanuatu [i-][w-][a-][g-cent2269]':2.58,('Araki {Vanuatu} [i-akr][w-ark][a-871][g-arak1252]':9.73,'Hano [i-lml][w-rag][a-1900][g-hano1246]':27.3)'Northern Vanuatu [i-][w-][a-][g-nort3205]':15.7)'North and Central Vanuatu [i-][w-][a-][g-nort3195]':2.56,('Gela [i-nlg][w-gel][a-2183][g-gela1263]':11.8,('Longgu [i-lgu][w-lgu][a-1884][g-long1395]':15.1,('Kwaio [i-kwd][w-kwa][a-1847][g-kwai1243]':10.5,'To`abaita [i-mlu][w-toq][a-2034][g-toab1237]':11.2)'Northern Malaita [i-][w-][a-][g-nort2833]':3.69)'Malaita-San Cristobal [i-][w-][a-][g-mala1485]':6.73)'Southeast Solomonic [i-][w-][a-][g-sout2853]':5.4,(('Cemuhi [i-cam][w-cem][a-1111][g-cemu1238]':1.85,'Dumbea [i-duf][w-pta][a-1438-2904][g-dumb1241]':10.2,'Fwai [i-fwa][w-poa][a-1512][g-fwai1237]':15.6,('Ajie [i-aji][w-aji][a-867][g-ajie1238]':16.8,'Tiri [i-cir][w-tin][a-1144][g-tiri1258]':47.5,'Xaracuu [i-ane][w-xar][a-893][g-xara1244]':7.72)'Southern New Caledonian [i-][w-][a-][g-sout3189]':9.33)'New Caledonian [i-][w-][a-][g-newc1243]':3.48,('Aneityum [i-aty][w-anj][a-935][g-anei1239]':8.86,'Ura {Vanuatu} [i-uur][w-ura][a-2678][g-urav1235]':17.7,'Kwamera [i-tnk][w-kwr][a-2593][g-kwam1252]':15.5)'South Vanuatu [i-][w-][a-][g-sout2868]':7.91)'Southern Melanesian [i-][w-][a-][g-sout3173]':1.61,('Ayiwo [i-nfl][w-ayw][a-13][g-ayiw1239]':13.9,'Teanu [i-tkw][w-bum][a-2579][g-tean1237]':11.2)'Temotu [i-][w-][a-][g-temo1244]':10.7,((('Nalik [i-nal][w-nal][a-2132][g-nali1244]':7.19,'Tungag [i-lcm][w-tnk][a-1874][g-tung1290]':8.26)'Tungak-Nalik [i-][w-][a-][g-tung1294]':4.34,((('Hoava [i-hoa][w-hoa][a-1614][g-hoav1238]':11.9,'Roviana [i-rug][w-rov][a-2387][g-rovi1238]':8.88)'East New Georgia [i-][w-][a-][g-east2761]':7.55,'Bannoni [i-bcm][w-bnn][a-977][g-bann1247]':12.5,'Kokota [i-kkk][w-kkt][a-1769][g-koko1269]':11.2)'Northwest Solomonic [i-][w-][a-][g-nort3225]':4.44,'Siar-Lak [i-sjr][w-sir][a-2434][g-siar1238]':14,'Sursurunga [i-sgz][w-sur][a-2418][g-surs1246]':6.82)'St George linkage [i-][w-][a-][g-stge1234]':3.97)'Meso Melanesian linkage [i-][w-][a-][g-meso1253]':3.07,((((('Aribwatsa [i-laz][w-ari][a-1866][g-arib1241]':11.3,'Musom [i-msu][w-msm][a-2086][g-muso1238]':10.4)'Busu [i-][w-][a-][g-busu1245]':9.48,'Labu [i-lbu][w-lab][a-3157][g-labu1248]':13.9)'Lower Markham [i-][w-][a-][g-lowe1411]':1.42,'Adzera [i-adz][w-adz][a-955][g-adze1240]':42.1)'Markham [i-][w-][a-][g-mark1257]':6.52,('Kela {Papua New Guinea} [i-kcl][w-kap][a-1715][g-kela1255]':2.73,'Yabem [i-jae][w-jab][a-1669][g-yabe1254]':24.5)'North Huon Gulf [i-][w-][a-][g-nort2858]':6.2)'Huon Gulf [i-][w-][a-][g-huon1245]':1.32,('Matukar [i-mjk][w-mtk][a-2018][g-matu1261]':13.2,'Sio [i-xsi][w-sio][a-2429][g-sioo1240]':6.93,'Amara [i-aie][w-ama][a-862][g-amar1272]':11.2)'Vitiaz linkage [i-][w-][a-][g-viti1243]':5.46,('Tobati [i-tti][w-tbt][a-2628][g-toba1266]':36.3,'Sobei [i-sob][w-sob][a-2462][g-sobe1238]':15.2)'Sarmi-Jayapura Bay [i-][w-][a-][g-sarm1241]':17.7,('Kairiru [i-kxa][w-krr][a-1850][g-kair1263]':19.2,'Tumleo [i-tmq][w-tum][a-2588][g-tuml1238]':17.8)'Schouten [i-][w-][a-][g-scho1242]':8.23)'North New Guinea linkage [i-][w-][a-][g-nort3206]':2.33,((('Gapapaiwa [i-pwg][w-gap][a-2346][g-gapa1238]':5.98,'Minaveha [i-mvn][w-mnv][a-2103][g-mina1269]':11.5)'Are-Taupota [i-][w-][a-][g-aret1241]':4.81,'Gumawana [i-gvs][w-gmw][a-1581][g-guma1254]':40.1)'North Papuan Mainland-D`Entrecasteaux [i-][w-][a-][g-nort2848]':1.83,'Lala {Papua New Guinea} [i-nrz][w-all][a-2202][g-lala1268]':20.9)'Papuan Tip linkage [i-][w-][a-][g-papu1253]':6.1)'Western Oceanic linkage [i-][w-][a-][g-west2818]':1.23,'Yapese [i-yap][w-yap][a-2786][g-yape1248]':43.7)'Oceanic [i-][w-][a-][g-ocea1241]':0.249,('Warembori [i-wsa][w-wrm][a-402][g-ware1253]':17.4,'Mor {Mor Islands} [i-mhz][w-mor][a-1998][g-morm1235]':21.5,'Irarutu [i-irh][w-irr][a-1651][g-irar1238]':8.56)'South Halmahera-West New Guinea [i-][w-][a-][g-sout2850]':11.8)'Eastern Malayo-Polynesian [i-][w-][a-][g-east2712]':0.937)'Central-Eastern Malayo-Polynesian [i-][w-][a-][g-cent2237]':1.31,'Yakan [i-yka][w-ykn][a-2776][g-yaka1277]':47,((('Tausug [i-tsg][w-tsg][a-2616][g-taus1251]':13.9,'Aklanon [i-akl][w-akl][a-870][g-akla1241]':8.13)'Bisayan [i-][w-][a-][g-bisa1268]':3.3,'Mamanwa [i-mmn][w-mmn][a-2038][g-mama1275]':13.7)'Central Philippine [i-][w-][a-][g-cent2246]':11.5,'Maranao [i-mrw][w-mrn][a-484][g-mara1404]':19.2,'Binukid [i-bkd][w-bkd][a-1030][g-binu1244]':13.6,('Batak [i-bya][w-bat][a-1077][g-bata1301]':11.7,'Tagbanwa [i-tbw][w-tgb][a-2528][g-tagb1258]':10.3)'Northern Palawanic [i-][w-][a-][g-nort3185]':9.52)'Greater Central Philippine [i-][w-][a-][g-grea1284]':2.72,('Komering [i-kge][w-kag][a-2692][g-kome1238]':12.9,'Lampung Api [i-ljp][w-lmp][a-1893][g-lamp1243]':3.41)'Lampung [i-][w-][a-][g-lamp1241]':11.6,((('Eastern Cham [i-cjm][w-cme][a-1150][g-east2563]':15.9,'Western Cham [i-cja][w-chw][a-1146][g-west2650]':11.3)'Cham [i-][w-][a-][g-cham1328]':5.85,('Northern Roglai [i-rog][w-rgn][a-2375][g-nort2994]':10.2,'Tsat [i-huq][w-tst][a-1622][g-tsat1238]':12.2)'Northern Cham [i-][w-][a-][g-nort3219]':15.1)'Chamic [i-][w-][a-][g-cham1330]':4.62,(('Betawi [i-bew][w-meb][a-998][g-beta1252]':15.5,('Indonesian [i-ind][w-ind-inj][a-1324-1325-496][g-indo1316]':67.3,'Standard Malay [i-zsm][w-mly][a-613][g-stan1306]':13.2)'Indonesian Archipelago Malay [i-][w-][a-][g-indo1326]':24.1,'Negeri Sembilan Malay [i-zmi][w-mmu][a-2809][g-nege1240]':19.2,('Malay [i-zlm][w-ktp-myk][a-1357-1358][g-mala1479]':5.74,'Urak Lawoi` [i-urk][w-url][a-2675][g-urak1238]':18)'Singapore Archipelago Malay [i-][w-][a-][g-sing1270]':9.91)'Nuclear Malayic [i-][w-][a-][g-nucl1733]':2.05,('Malay/ Manado [i-xmm][w-mds][a-2753][g-mala1481]':18.3,'Papuan Malay [i-pmy][w-iir][a-][g-papu1250]':21.1)'Eastern Indonesia Trade Malay [i-][w-][a-][g-east2743]':3.77)'Malayic [i-][w-][a-][g-mala1538]':3.06)'North and East Malayo-Sumbawan [i-][w-][a-][g-nort3170]':3,('Sa`ban [i-snv][w-sab][a-2461][g-saba1265]':20.1,'Bonggi [i-bdg][w-bgz][a-][g-bong1289]':18.2,('Coastal Kadazan [i-kzj][w-kdz][a-1859][g-coas1294]':10.6,'Tatana [i-txx][w-tat][a-2648][g-tata1257]':11.1)'Southwest Sabahan [i-][w-][a-][g-sout3154]':7.51)'North Bornean Malayo-Polynesian [i-][w-][a-][g-nort2892]':6.16,('Central Cagayan Agta [i-agt][w-agc][a-854][g-cent2084]':18.5,'Iloko [i-ilo][w-ilo][a-1644][g-ilok1237]':22.8,('Balangao [i-blw][w-blg][a-1039][g-bala1310]':15.3,('Karao [i-kyj][w-kao][a-1853][g-kara1487]':5.12,'Pangasinan [i-pag][w-pnn][a-2314][g-pang1290]':18.8)'West Southern Cordilleran [i-][w-][a-][g-west2550]':9.44)'South-Central Cordilleran [i-][w-][a-][g-sout3211]':2.24,'Casiguran Dumagat Agta [i-dgc][w-dca][a-1294][g-casi1235]':18)'Northern Luzon [i-][w-][a-][g-nort3238]':1.22,('Enggano [i-eno][w-eno][a-1474][g-engg1245]':7.71,'Simeulue [i-smr][w-sim][a-2452][g-sime1241]':5.07,'Batak Toba [i-bbc][w-bto][a-968][g-bata1289]':26.4)'Northwest Sumatra-Barrier Islands [i-][w-][a-][g-nort2829]':6.21,'Palauan [i-pau][w-pal][a-2309][g-pala1344]':21.4,('Bantik [i-bnq][w-bnt][a-1046][g-bant1286]':12.7,'Ratahan [i-rth][w-tor][a-2384][g-rata1244]':12.9)'Southern Sangiric [i-][w-][a-][g-sout3155]':9.09,'Selayar [i-sly][w-sly][a-2448][g-sela1260]':11.9)'Malayo-Polynesian [i-][w-][a-][g-mala1545]':37.4,'Paiwan [i-pwn][w-pai][a-327][g-paiw1248]':51.5)'Nuclear Austronesian [i-][w-][a-][g-nucl1752]';
