Family	Success	Comments	Tree
Kwadi-Khoe	FAIL	NJ: the distances matrix has too few non-missing data	
Ju	FAIL	NJ: the distances matrix is too small	
Hadza	FAIL	NJ: too few languages	
Sandawe	FAIL	NJ: too few languages	
Kordofanian	FAIL	NJ: the distances matrix has too few non-missing data	
Kwa	FAIL	NJ: the distances matrix has too few non-missing data	
Mande	FAIL	NJ: the distances matrix has too few non-missing data	
North Atlantic	FAIL	NJ: the distances matrix has too few non-missing data	
Ijoid	FAIL	NJ: the distances matrix is too small	
Adamawa-Ubangi	FAIL	NJ: the distances matrix has too few non-missing data	
Benue-Congo	FAIL	NJ: the distances matrix has too few non-missing data	
Saharan	FAIL	NJ: the distances matrix is too small	
Fur	FAIL	NJ: too few languages	
Kuliak	FAIL	NJ: the distances matrix is too small	
Nera	FAIL	NJ: too few languages	
Nubian	FAIL	NJ: the distances matrix has too few non-missing data	
Nilotic	SUCCESS	NJ	((('Dinka [i-din][w-][a-1326][g-dink1262]':0.261,'Nuer [i-nus][w-nue][a-2219][g-nuer1246]':0.174):0.259,'Anywa [i-anu][w-any][a-900][g-anua1242]':0.234):0.202,('Jur Luwo [i-lwo][w-jlu][a-1924][g-luwo1239]':0,'Pari [i-lkr][w-par][a-1894][g-pari1256]':0.292):0.173,(((((('Lango [i-laj][w-lan][a-159][g-lang1324]':0.259,'Markweeta [i-enb][w-][a-3004][g-mark1255]':0.783):0.131,('Datooga [i-tcc][w-dat][a-2532][g-dato1239]':0.279,'Luo [i-luo][w-luo][a-1919][g-luok1236]':0.0132):0.315):0.154,'Acholi [i-ach][w-acl][a-603][g-acol1236]':0.172):0.171,'Shilluk [i-shk][w-shl][a-2423][g-shil1265]':0.177):0.175,('Bari [i-bfa][w-bar-kuk][a-1000][g-bari1284]':0.0429,'Kuku [i-bfa][w-bar-kuk][a-1233][g-bari1284]':0.249):0.368):0.178,(((('Teso [i-teo][w-tes][a-2548][g-teso1249]':0.213,'Turkana [i-tuv][w-tna][a-2641][g-turk1308]':0.171):0.167,'Karimojong [i-kdj][w-kmj][a-1723][g-kara1483]':0.201):0.19,'Nandi [i-niq][w-][a-299][g-nand1266]':0.11):0.22,('Pokot [i-pko][w-pkt][a-2304][g-poko1263]':0.141,'Sebei [i-kpz][w-seb][a-1809][g-kups1238]':0.151):0.252):0.198):0.158);
Gumuz	FAIL	NJ: too few languages	
Berber	SUCCESS	NJ	('Berber {Mzab} [i-mzb][w-bmz][a-2123][g-tumz1238]':0.346,(((('Berber {Kabyle} [i-kab][w-kbl][a-2882][g-kaby1243]':0.546,'Berber {Rif} [i-rif][w-brf][a-2369][g-tari1263]':0.145):0.529,('Kabyle [i-kab][w-kbl][a-120][g-kaby1243]':0.268,'Shilha [i-shi][w-tas][a-2969][g-tach1250]':0.423):0.318):0.427,((((('Berber {Figuig} [i-tzm][w-bma-bse][a-750][g-cent2194]':0.332,'Tamashek {Burkin Faso} [i-taq][w-tsk][a-3042][g-tama1365]':0.358):0.334,'Tamashek {Mali} [i-taq][w-tsk][a-3040][g-tama1365]':0.443):0.391,'Tamazight {Ayt Ndhir} [i-tzm][w-bma-bse][a-571][g-cent2194]':0.316):0.411,'Ghomara [i-gho][w-][a-3039][g-ghom1257]':0.453):0.299,'Berber [i-berb][w-][a-431][g-berb1260]':0.33):0.462):0.412,'Zenaga [i-zen][w-zen][a-2806][g-zena1248]':0.288):0.377,((((((('Berber {Chaouia} [i-shy][w-bch][a-2426][g-tach1249]':0.325,'Tashlhiyt [i-shi][w-tas][a-2421][g-tach1250]':0.432):0.462,'Tuareg {Ahaggar} [i-thv][w-tai-tgh-tug][a-2566][g-taha1241]':0.391):0.37,'Tuareg {Ghat} [i-thv][w-tai-tgh-tug][a-1421][g-taha1241]':0.328):0.401,'Berber {Ayt Seghrouchen Middle Atlas} [i-tzm][w-bma-bse][a-1435][g-cent2194]':0.273):0.484,'Berber {Wargla} [i-oua][w-bou][a-2264][g-taga1278]':0):0.27,'Tuareg {Air} [i-thv][w-tai-tgh-tug][a-1420][g-taha1241]':0.317):0.364,'Berber {Siwa} [i-siz][w-bsi][a-2432][g-siwi1239]':0.335):0.364);
